,question,translated_question
2849,À quelle fréquence doit on changer les masques faciaux? ,How often should we change face masks? 
2850,Est-ce qu'il y a un endroit où je peux signaler une personne qui ne respecte pas ses 14 jours de confinement?,Is there a place where I can report a person who does not respect his 14 days of confinement?
2851,Je suis enceinte et je travail auprès des gens à faire des prises de sang?,I am pregnant and I work with people taking blood samples?
2852,"Je travaille dans un dépanneur, quelles sont les mesures de sécurité à prendre ?","I work in a convenience store, what are the safety measures to take?"
2853,Quels sont les symptômes?,What are the symptoms?
2854,Est-ce possible de contracter le COVID-19 à deux reprises?,Is it possible to contract COVID-19 twice?
2855,Si je suis en quarantaine depuis plus de 14 jours et que je n’ai aucun symptôme est ce que je peux visiter ma fille qui est aussi en quarantaine chez elle ?,If I have been quarantined for more than 14 days and I have no symptoms can I visit my daughter who is also quarantined at home?
2858,puise attraper plusieurs fois le COVID-19 ,can catch COVID-19 several times 
2859,Quels sont les symptômes?,What are the symptoms?
2861,Comment me protéger?,How can I protect myself?
2863,Est-ce qu'un vaccin sera bientôt efficace pour protéger contre le virus?,Will a vaccine soon be effective in protecting against the virus?
2864,Est-ce que la periode de confinement obligatoire doit être rémunérée ,Should the period of compulsory confinement be remunerated 
2867,Est-ce que les phramarice sont ouvert,Are phramarice open
2868,Peut-il y avoir des porteurs sains? ,Can there be healthy carriers? 
2870,Est-ce que mon chat peut attraper le covid?,Can my cat catch the covid?
2875,Pouvons nous savoir dans quel ville ou secteur son situé les cas? Chaudiere-appalaches c'est très grand! ,Can we know in which city or sector its located the cases? Chaudiere-appalaches is very big!
2879,Comment passer les tests de dépistage?,How to pass the screening tests?
2880,Est-ce que je peux prendre des advils?,Can I take advils?
2881,Quelle est la progression du covid-19 dans le monde?,How has covid-19 progressed worldwide?
2883,Puis-je obliger mon employeur à me permettre de faire du télétravail?,Can I force my employer to allow me to telecommute?
2884,Quel numéro dois-je appeler pour parler à un médecin?,What number should I call to speak to a doctor?
2885,Quel magasin sont ouverts?,Which store are open?
2886,Le gouvernement va-t-il payer l’employeur pour paye l’assurance-chômage aux employés en pause de travail?,Will the government pay the employer to pay unemployment insurance to employees on work breaks?
2888,Combien de jours avant d’avoir des symptômes suis-je contagieux?,How many days before I have symptoms am I contagious?
2894,Suis-je eligible pour me faire tester? ,Am I eligible to get tested? 
2899,Mom conjoint est à haut risque de conplication si il attrape le virus. Comment savoir ses chance de complication exacte? ,Mom's joint is at high risk of involvement if he catches the virus. How to know its chances of exact complication?
2900,À quel moment je devrais me rendre à l’hôpital?,When should I go to the hospital?
2901,Quelle est la première étape si je crois avoir des symptômes de la Covid-19?,What is the first step if I think I have symptoms of Covid-19?
2902,Pendant combien de temps le virus reste sur les surfaces? J'ai vu 3 heures sur le site du gouvernement mais les gens disent tous 24 heures ,How long does the virus stay on surfaces? I saw 3 hours on the government site but people say all 24 hours
2905,Peut-on développer des symptômes après 14 jours d’isolement?,Can you develop symptoms after 14 days of isolation?
2907,Quel sont les symptômes du Corona virus? ,What are the symptoms of Corona virus? 
2909,"Si une personne est atteinte du coronavirus une fois, est-ce qu'elle est immunisé à vie?","If someone has coronavirus once, is he or she immunized for life?"
2910,Comment protéger mes proches si je suis infectée?,How can I protect my loved ones if I am infected?
2911,Est ce que la chaleur affecte le virus ? ,Does heat affect the virus? 
2913,Est-ce qu'il y aura bientôt un vaccin ,Are there will soon be a vaccine
2915,J'ai un toux est ce que j'ai le COVID-19?,I have a cough do I have COVID-19?
2916,Est-ce que le coronavirus survie au froid?,Does coronavirus survive cold?
2918,Est-ce que les symptômes sont différents pour les enfants?,Are the symptoms different for children?
2923,Pourquoi le dépistage massif est une bonne stratégie?,Why mass screening is a good strategy?
2926,Puis-je m'auto-contaminer alors que je suis seul chez moi? ,Can I self-contaminate while I am alone at home? 
2929,Liquide vaiselle,Dishwashing liquid
2930,"Est ce que dans le cadre des mesures de confinement, les couples doivent faire chambre séparée?","As part of the confinement measures, couples must have a separate bedroom?"
2931,"Je reviens de voyage, dois-je aller faire un test?","I have just returned from my trip, should I go for a test?"
2934,Quels sont les symptômes ,What are the symptoms 
2936,Est-ce que la transmission de la COVID-19 est plus virulente avec quelqu un quo présente des symptômes de la maladie ? ,Is COVID-19 more virulent with someone showing symptoms of the disease? 
2938,Est-ce que les dépanneurs sont ouvert,Are convenience stores open
2939,"Problème Cardio musculaire , est ce que on est plus sensible au covid-19 ","Cardio muscular problem, are we more sensitive to covid-19 "
2942,Est-ce que le covid-19 a des répercussions permanentes et irréversibles dans tous les cas? ,Does covid-19 have permanent and irreversible repercussions in all cases? 
2946,est-ce que porter un masque peut nous aider à nous protéger du virus,can wearing a mask help protect us from the virus
2947,Est-ce que mon chien peut attraper le covid,Can my dog ​​catch the covid
2948,"Si quelqu’un éternue, combien de temps l’air entourant cette personne reste contagieuse?","If someone sneezes, how long does the air around them stay contagious?"
2952,Est ce que la chaleur tué le virus?,Has the heat killed the virus?
2953,Symptômes?,Symptoms?
2954,Est ce que je suis contagieux longtemps après avoir contracté le virus?,Am I contagious long after I have contracted the virus?
2956,Est-ce que mon employeur peut me mettre à la porte?,Can my employer fire me?
2957,Je suis en arrêt de travail depuis le 11 mars et je travail dans une banque à la caisse je pense que je ne devrais pas y retourner qu en penser  je suis inquiète ,I have been off work since March 11 and I work in a bank at the cash register I think I should not go back there than I think I am worried 
2959,Comment savoir si je suis affecté?,How do I know if I have been affected?
2960,Quel est la difference d'efficacite entre le savon et le liquide de vaiselle ? ,What is the difference in effectiveness between soap and dishwashing liquid? 
2962,Comment puis-je savoir si j'ai le coronavirus ,How do I know if I have coronavirus 
2963,est ce que cèst vrai le COVID-19 ne peut pas supporter la chaleur plus de 30 dégrée Celsius ?  ,is it true COVID-19 cannot withstand heat over 30 degrees Celsius?  
2964,Est-ce que mon animal peut me transmettre le covid?,Can my pet transmit the covid to me?
2965,Si je tousse mais qur je n ai aucun autre symptomes est ce inquiétant?,If I cough but have no other symptoms is this worrying?
2966,Combien de morts aujourd'hui au Québec ,How many deaths today in Quebec 
2967,est ce que les jeunes en bon sante peuvent mourir de cette maladie COVID-19 ?,Can healthy young people die from this COVID-19 disease?
2970,Dois-je consulter mon médecin si je tousse?,Should I see my doctor if I cough?
2971,Combien de temps dure la période de contagion ?,How long does the contagion period last?
2972,est-ce que les asthmatiques sont plus à risque de complications graves (basé sur les cas actuels),are asthmatics more at risk of serious complications (based on current cases)
2975,Est-ce que je peux aller à l'épicerie?,Can I go to the grocery store?
2976,Pourquoi les gens qui reviennent de voyage semblent être plus susceptible d'être porteur à risque?,Why do people who return from travel seem to be more likely to be a risk carrier?
2977,"Est-ce que dans le cadre des mesures de confinement,","In the context of containment measures,"
2979,Dans combien de jours pourrons-nous commencer à reprendre notre mode de vie ?,In how many days will we be able to start resuming our lifestyle?
2981,"Dois-je désinfecter tous les produits alimentaires ou autres nouveaux éléments que j’apporte ou fais livrer chez moi? Si oui, quel(s) produit(s) recommandez vous pour la désinfection?","Do I have to disinfect all food products or other new items that I bring or have delivered to my home? If yes, which product (s) do you recommend for disinfection?"
2982,Où puis-je trouver un centre de test pour le coronavirus? ,Where can I find a test center for coronavirus? 
2983,Est-ce qu’une personne a symptomatique peut être contagieuse?,Can a symptomatic person be contagious?
2985,Quel est l'hopital le plus près?,What is the nearest hospital?
2986,qu'en est-il des personnes sans ressources ? des aides sont-elles prévues ? ,what about people without resources? is aid planned?
2987,Quels sont les premiers symptômes de la Covid-19?,What are the first symptoms of Covid-19?
2988,Est-ce que je dois aller à l'hopital?,Do I have to go to the hospital?
2989,Combien de temps la covid-19 vie sur l’asphalte exemple?,How long does covid-19 last on asphalt example?
2992,Doit-on désinfecter toutes nos courses de retour à la maison?,Do we need to disinfect all of our return home errands?
2993,qu'elles sont les sympthomes du covid-19?,what are the sympthomes of covid-19?
